Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
,,,,,,,,312,1273.382339,6760.015319,4750.694001
,,,,,,,,313,1257.877304,6484.290311,4504.771588
,,,,,,,,314,1161.347429,6306.74058,4651.375701
,,,,,,,,315,1062.67394,6192.781294,4386.858823
,,,,,,,,316,1018.009636,6150.131892,4266.604942
,,,,,,,,317,968.379752,6188.968891,4262.845658
,,,,,,,,318,975.093413,6216.720513,4185.17122
,,,,,,,,319,967.9811243,6389.126234,4295.32641
,,,,,,,,320,954.140867,6640.650652,4376.633798
,,,,,,,,321,904.3255571,7061.606589,4453.081509
,,,,,,,,322,821.3170724,7403.467943,4300.098468
,,,,,,,,323,797.2506548,7565.493674,4165.812458
,,,,,,,,324,619.4757948,7691.409818,3847.332605
,,,,,,,,325,498.4857415,7714.140302,3601.631914
,,,,,,,,326,497.8570892,7553.404794,3441.659743
,,,,,,,,327,522.8639429,7373.65956,3442.379755
,,,,,,,,328,609.1729238,7330.774884,3661.202453
,,,,,,,,329,733.4925769,7327.838907,4006.932896
,,,,,,,,330,895.9575979,7363.052181,4322.043618
,,,,,,,,331,1037.965567,7197.717856,4497.109505
,,,,,,,,332,1146.5273,7462.935253,4701.718657
,,,,,,,,333,1236.50756,7409.384443,4816.506734
,,,,,,,,334,1243.396676,7152.940595,4632.164127
,,,,,,,,335,1253.254875,6902.160354,4509.860358
,,,,,,,,336,1387.705552,6705.583708,4691.896885
,,,,,,,,337,1443.311848,6495.113921,4530.829884
,,,,,,,,338,1357.381912,6354.422559,4717.86572
,,,,,,,,339,1296.779144,6268.712521,4508.106905
,,,,,,,,340,1298.539423,6262.168621,4440.047582
,,,,,,,,341,1396.388776,6375.521316,4665.92801
,,,,,,,,342,1502.14957,6832.319424,5063.498336
,,,,,,,,343,1664.897405,7439.798617,5689.333898
,,,,,,,,344,1751.79967,8406.411878,5960.865612
,,,,,,,,345,1720.552096,9271.778744,6078.887692
,,,,,,,,346,1569.006997,9474.580595,5881.60013
,,,,,,,,347,1506.751429,9305.464092,5664.411202
,,,,,,,,348,1254.193085,9133.968367,5390.631726
,,,,,,,,349,1189.393766,9147.778855,5182.296472
,,,,,,,,350,1182.114896,9169.294591,4947.977035
,,,,,,,,351,1184.211775,8837.043855,4822.547897
,,,,,,,,352,1207.398924,8995.11582,4931.825885
,,,,,,,,353,1298.292944,8829.119995,5197.559907
,,,,,,,,354,1342.957468,8225.049607,5293.717326
,,,,,,,,355,1417.579101,7816.076298,5282.634556
,,,,,,,,356,1481.624435,7893.454394,5393.348247
,,,,,,,,357,1689.461254,7751.404785,5600.689388
,,,,,,,,358,1706.466491,7488.445311,5294.535189
,,,,,,,,359,1674.28533,7338.18396,5042.585343
,,,,,,,,360,1779.727463,7126.294741,5188.276705
,,,,,,,,361,1796.700787,6873.072908,4979.319141
,,,,,,,,362,1635.474282,6581.322002,5174.123194
,,,,,,,,363,1551.337137,6440.187699,4957.874339
,,,,,,,,364,1525.563773,6422.89157,4876.85726
,,,,,,,,365,1553.868278,6576.126874,4969.297873
,,,,,,,,366,1654.586719,6983.131061,5411.222321
,,,,,,,,367,1792.457995,7585.716764,6118.423295
,,,,,,,,368,1869.389772,8159.139945,6359.034394
,,,,,,,,369,1831.939275,8918.39517,6337.671641
,,,,,,,,370,1696.35641,9059.261253,6178.531791
,,,,,,,,371,1628.371409,9003.146069,5973.675738
,,,,,,,,372,1422.280559,8825.276042,5691.202014
,,,,,,,,373,1338.239225,8774.309029,5424.651763
,,,,,,,,374,1317.106672,8814.225984,5267.801198
,,,,,,,,375,1365.853397,8780.469196,5246.618032
,,,,,,,,376,1459.154125,8831.713961,5330.414673
,,,,,,,,377,1554.330489,8611.190106,5567.34066
,,,,,,,,378,1649.992361,7994.432331,5526.595193
,,,,,,,,379,1709.481537,7748.900382,5538.862508
,,,,,,,,380,1748.89769,7883.550688,5564.177297
